TRAIT	TODO	Date_last_edited	Primary(1),Secondary(2) Variable	GRS available? 	User checked trait	Comment	Definition explanation for manuscript	Type (Trait/Medicine/Operation/Family History)	Category	CompositeVariable	DESCRIPTION	Exclude_from_cases	Study_population	Exclude_from_controls	Include_definitions	ICD10	ICD9	OPCS4	OPCS3	READ2	READ2_drugs	CTV3	BNF	DMD	TS(Touchscreen)	f.20001(sr_cancer)	f.20002(sr_noncancer)	f.20003(sr_med)	f.20004(sr_oper)	Minimum_Episode_duration	include_secondary
HfInCad_TEST								Composite	cardiovascular disease	..	Hf due to ischemia vs no Hf after ischemia	Cmp	Cad		Hf																
Nicm_TEST								Composite	cardiovascular disease		non-ischemic cardiomyopathy	Cad		Cmp,HxHrt	Dcm	I501															
HxCaBo		08-11-2016						Family History 	cancer	Family history: Cancer, all	Family history: Bowel cancer (incl. digestive organs)					Z800 (Z80.0 Family history of malignant neoplasm of digestive organs)	V160 (V160 Family history of malignant neoplasm in gastrointestinal tract)								20110=4 (Bowel cancer),20107=4, 20111=4					0	1
HxCaBr		08-11-2016						Family History 	cancer	Family history: Cancer, all	Family history: Breast cancer					Z803 (Z80.3 Family history of malignant neoplasm of breast)	V163 (V163 Family history of malignant neoplasm in breast)								20110=5 (Breast cancer),20107=5, 20111=5					0	1
HxCa		08-11-2016						Family History 	cancer	Family history: Cancer, all	Family history: Cancer, all				HxCaBo,HxCaBr,HxCaL,HxCaP	Z80	V16													0	1
HxCaL		08-11-2016						Family History 	cancer	Family history: Cancer, all	Family history: Lung cancer					Z801 (Z80.1 Family history of malignant neoplasm of trachea, bronchus and lung)	V161 (V161 Family history of malignant neoplasm in trachea, bronchus and lung)								20110=3 (Lung cancer),20107=3, 20111=3					0	1
HxCaP		08-11-2016						Family History 	cancer	Family history: Cancer, all	Family history: Prostate cancer														20110=13 (Prostate cancer),20107=13, 20111=13					0	1
HxCva		08-11-2016						Family History 	cerebrovascular disease	Cerebrovascular accident (stroke)	Family history: Stroke					Z823 (Family history of stroke)	V171 (Family history of stroke)								20110=2 (Stroke),20107=2, 20111=2					0	1
HxDm		08-11-2016						Family History 	diabetes		Family history: Diabetes					Z833 (Family history of diabetes mellitus)	V180 (Family history of diabetes mellitus)								20110=9 (Diabetes), 20107=9, 20111=9					0	1
HxHrt		08-11-2016						Family History 	heart disease		Family history: Heart disease														20110=1 (Heart disease), 20107=1, 20111=1					0	1
HxHt		08-11-2016						Family History 	cardiovascular disease		Family history: High blood pressure														20110=8 (High blood pressure), 20107=8, 20111=8					0	1
HxAd		08-11-2016						Family History 	neurology		Family history: Alzheimer's disease/dementia														20110=10 (Alzheimer's disease),20107=10, 20111=10					0	1
HxDepr		08-11-2016						Family History 	psychiatry		Family history: Severe depression														20110=12 (Severe depression),20107=12, 20111=12					0	1
HxPd		08-11-2016						Family History 	neurology		Family history: Parkinson's disease														20110=11 (Parkinson's disease),20107=11, 20111=11					0	1
HxCb		08-11-2016						Family History 	respiratory/ent		Family history: COPD / asthma					Z825 (Family history of asthma and other chronic lower respiratory diseases)	V175 (Family history of asthma), V176 (Family history of other chronic respiratory conditions)								20110=6 (Chronic bronchitis/emphysema),20107=6, 20111=2					0	1
RxCV		08-11-2016			TH			Medication	cardiovascular disease		meds; Cardiovascular drugs										b	b						1140851332,1140851336,1140851338,1140851342,1140851360,1140851362,1140851364,1140851368,1140851400,1140851412,1140851414,1140851418,1140851420,1140851428,1140851430,1140851432,1140851436,1140851480,1140851484,1140851492,1140851508,1140851522,1140851530,1140851532,1140851534,1140851556,1140851576,1140851586,1140851590,1140851594,1140851596,1140851598,1140851602,1140851634,1140851636,1140851646,1140851652,1140851658,1140851660,1140851666,1140851690,1140851692,1140851712,1140851726,1140851730,1140851736,1140851738,1140851742,1140851754,1140851756,1140851784,1140851786,1140851790,1140851794,1140851798,1140851800,1140851812,1140851818,1140851820,1140851826,1140851852,1140851854,1140851880,1140851882,1140851930,1140851960,1140860172,1140860180,1140860192,1140860194,1140860212,1140860220,1140860222,1140860230,1140860232,1140860244,1140860250,1140860266,1140860274,1140860278,1140860292,1140860294,1140860304,1140860308,1140860312,1140860314,1140860316,1140860318,1140860320,1140860322,1140860324,1140860328,1140860330,1140860332,1140860334,1140860336,1140860338,1140860340,1140860342,1140860348,1140860352,1140860356,1140860358,1140860362,1140860380,1140860382,1140860386,1140860390,1140860394,1140860396,1140860398,1140860400,1140860402,1140860404,1140860406,1140860410,1140860418,1140860422,1140860426,1140860434,1140860454,1140860470,1140860478,1140860492,1140860498,1140860520,1140860532,1140860534,1140860544,1140860552,1140860556,1140860558,1140860562,1140860580,1140860590,1140860610,1140860628,1140860632,1140860638,1140860654,1140860658,1140860690,1140860696,1140860706,1140860714,1140860728,1140860736,1140860738,1140860750,1140860752,1140860758,1140860764,1140860776,1140860784,1140860790,1140860802,1140860806,1140860828,1140860830,1140860834,1140860836,1140860838,1140860840,1140860842,1140860846,1140860848,1140860862,1140860878,1140860882,1140860892,1140860904,1140860912,1140860918,1140860938,1140860940,1140860942,1140860952,1140860954,1140860966,1140860972,1140860976,1140860982,1140860988,1140860994,1140861000,1140861002,1140861008,1140861010,1140861016,1140861022,1140861024,1140861034,1140861046,1140861068,1140861070,1140861088,1140861090,1140861106,1140861110,1140861114,1140861120,1140861128,1140861130,1140861136,1140861138,1140861166,1140861176,1140861190,1140861194,1140861202,1140861266,1140861268,1140861276,1140861282,1140861324,1140861326,1140861384,1140861402,1140861404,1140861408,1140861410,1140861416,1140861418,1140861424,1140861434,1140861444,1140861456,1140861506,1140861568,1140861574,1140861578,1140861584,1140861588,1140861594,1140861602,1140861604,1140861696,1140861698,1140861702,1140861704,1140861766,1140861776,1140861778,1140861780,1140861790,1140861800,1140861804,1140861806,1140861808,1140861832,1140861834,1140861848,1140861856,1140861858,1140861866,1140861868,1140861876,1140861878,1140861884,1140861892,1140861894,1140861922,1140861924,1140861926,1140861928,1140861936,1140861942,1140861944,1140861946,1140861954,1140861958,1140861970,1140862026,1140862028,1140863724,1140863884,1140864122,1140864176,1140864202,1140864212,1140864214,1140864410,1140864550,1140864574,1140864592,1140864618,1140864860,1140864874,1140864904,1140864910,1140864950,1140864952,1140864956,1140865966,1140865982,1140865990,1140866050,1140866052,1140866054,1140866058,1140866060,1140866072,1140866074,1140866078,1140866084,1140866086,1140866090,1140866092,1140866094,1140866096,1140866102,1140866104,1140866108,1140866110,1140866116,1140866122,1140866128,1140866132,1140866136,1140866138,1140866140,1140866144,1140866146,1140866156,1140866158,1140866162,1140866164,1140866168,1140866182,1140866192,1140866194,1140866200,1140866202,1140866206,1140866210,1140866212,1140866220,1140866222,1140866226,1140866230,1140866232,1140866236,1140866244,1140866248,1140866262,1140866280,1140866282,1140866306,1140866308,1140866312,1140866318,1140866324,1140866328,1140866330,1140866332,1140866334,1140866340,1140866352,1140866354,1140866356,1140866360,1140866388,1140866390,1140866396,1140866400,1140866402,1140866404,1140866406,1140866408,1140866410,1140866412,1140866416,1140866418,1140866420,1140866422,1140866426,1140866438,1140866440,1140866442,1140866444,1140866446,1140866448,1140866450,1140866460,1140866466,1140866484,1140866506,1140866516,1140866546,1140866554,1140866568,1140866574,1140866576,1140866584,1140866598,1140866602,1140866612,1140866624,1140866636,1140866654,1140866666,1140866692,1140866704,1140866712,1140866724,1140866726,1140866738,1140866756,1140866758,1140866764,1140866766,1140866778,1140866782,1140866784,1140866798,1140866800,1140866802,1140866804,1140879802,1140881748,1140888496,1140888646,1140888760,1140888762,1140888918,1140888922,1140909368,1140909706,1140909708,1140909710,1140909712,1140909770,1140909776,1140910404,1140910442,1140910510,1140910512,1140910536,1140910538,1140910560,1140910570,1140910572,1140910606,1140910608,1140910614,1140910620,1140910622,1140910630,1140910652,1140910654,1140910670,1140910694,1140910696,1140910766,1140910772,1140911088,1140911698,1140911710,1140916342,1140916356,1140916362,1140916628,1140916730,1140916868,1140916870,1140916930,1140917068,1140917076,1140917078,1140917408,1140917428,1140917452,1140917456,1140921004,1140921690,1140922018,1140922324,1140922930,1140923520,1140923572,1140923618,1140923670,1140923712,1140923718,1140923788,1140925942,1140926188,1140926360,1140926582,1140926584,1140926778,1140926780,1140926948,1140926954,1140926966,1140927174,1140927576,1140927934,1140927940,1140928212,1140928226,1140928234,1140928284,1140928290,1140928624,1141145630,1141145660,1141145668,1141145830,1141145870,1141146050,1141146138,1141146184,1141146234,1141146378,1141150328,1141150500,1141150538,1141150560,1141150926,1141151016,1141151018,1141151382,1141151474,1141151924,1141152076,1141152600,1141152998,1141153006,1141153032,1141153118,1141153296,1141153316,1141153328,1141153394,1141153400,1141153454,1141156656,1141156754,1141156808,1141156836,1141156846,1141157136,1141157140,1141157184,1141157186,1141157252,1141157254,1141157258,1141157260,1141157262,1141162544,1141162546,1141162550,1141162712,1141163324,1141163328,1141164044,1141164050,1141164148,1141164154,1141164276,1141164280,1141164760,1141164788,1141165470,1141165476,1141166006,1141166600,1141166752,1141166858,1141167026,1141167108,1141167758,1141167822,1141167832,1141167844,1141167848,1141168108,1141168318,1141168322,1141168498,1141168568,1141168964,1141169088,1141169096,1141169498,1141169710,1141169730,1141170544,1141170682,1141170870,1141171152,1141171336,1141171344,1141171374,1141171548,1141171804,1141172214,1141172492,1141172682,1141172686,1141172698,1141172742,1141173766,1141173888,1141174684,1141174718,1141175224,1141175546,1141175908,1141177826,1141179974,1141180238,1141180598,1141180722,1141180772,1141181098,1141181150,1141181154,1141181170,1141181186,1141181520,1141181868,1141182904,1141182910,1141182918,1141182968,1141184324,1141184390,1141185070,1141185444,1141186108,1141186674,1141186776,1141187048,1141187056,1141187094,1141187440,1141187774,1141187780,1141187788,1141187790,1141187962,1141188146,1141188152,1141188408,1141188530,1141188546,1141188576,1141188636,1141188730,1141188836,1141188920,1141188936,1141189054,1141189210,1141189212,1141189776,1141190160,1141190548,1141190934,1141191980,1141192064,1141192364,1141192410,1141192414,1141192736,1141192740,1141193282,1141193346,1141194372,1141194794,1141194800,1141194804,1141194808,1141195196,1141195254,1141195258,1141199858,1141199940,1141200040,1141200400,1141200698,1141200726,1141200730,1141200782,1141201038,1141201040,1141201244,1141201250,1141201306,1141201814,1141201884,2038459814		0	1
RxGly		08-11-2016			TH			Medication	heart disease		meds; Cardiac glycosides (digoxine)										b1	b1						1140865966,1140865982,1140865990,1140866050,1140866052,1140866054,1140866058,1140866060,1140910404,1141185070,2038459814		0	1
RxCa		08-11-2016			TH			Medication	cancer		meds; Cancer (chemotherapy/immunosuppressants)							X352 (Intravenous chemotherapy), X353 (Intravenous immunotherapy), X384 (subcutaneous chemotherapy), X385 (subcutaneous immunotherapy), X72, X73, X74			h,x01Ag,x01AV	h,x01Ag,x01AV						1140858130,1140858202,1140858324,1140858332,1140858338,1140858340,1140858348,1140864560,1140864562,1140869524,1140869542,1140869544,1140869546,1140869552,1140869554,1140869566,1140869568,1140869578,1140869580,1140869594,1140869596,1140869604,1140869636,1140869668,1140869772,1140869774,1140869778,1140869782,1140869784,1140869832,1140869842,1140869844,1140869848,1140869870,1140869878,1140869880,1140869932,1140869940,1140869942,1140869952,1140869978,1140869980,1140869998,1140870000,1140870004,1140870006,1140870016,1140870052,1140870060,1140870062,1140870076,1140870084,1140870102,1140870104,1140870106,1140870108,1140870110,1140870112,1140870114,1140870116,1140870118,1140870120,1140870122,1140870124,1140870126,1140870144,1140870164,1140870170,1140870176,1140870182,1140870186,1140870194,1140870196,1140870200,1140870208,1140870232,1140870242,1140870244,1140870248,1140870252,1140870260,1140870274,1140870278,1140870284,1140909844,1140910036,1140910382,1140910524,1140910540,1140910550,1140910596,1140910876,1140911642,1140916886,1140916888,1140917306,1140917310,1140921100,1140921104,1140921960,1140921972,1140922902,1140922906,1140922910,1140922914,1140923018,1140923022,1140923632,1140923850,1140925978,1140925986,1140927312,1140927790,1140927794,1141145896,1141145900,1141145996,1141146368,1141146370,1141146372,1141146374,1141146488,1141150596,1141150960,1141151588,1141151592,1141152628,1141152692,1141156668,1141157376,1141157392,1141157394,1141162690,1141162692,1141162694,1141162752,1141164182,1141164192,1141164678,1141165546,1141165932,1141166864,1141167430,1141167490,1141167618,1141167744,1141169674,1141170264,1141171100,1141171104,1141171242,1141171732,1141171736,1141171740,1141171744,1141171746,1141172242,1141172676,1141173030,1141173034,1141173222,1141173406,1141173410,1141173926,1141176870,1141176872,1141176874,1141180066,1141180070,1141180094,1141180320,1141181020,1141181506,1141181630,1141181882,1141182386,1141185284,1141186082,1141186084,1141186792,1141186794,1141186796,1141186800,1141186802,1141188588,1141188594,1141188640,1141188642,1141189254,1141189256,1141189772,1141189852,1141190734,1141190736,1141192070,1141192466,1141195044,1141200438,1141200440,1141200446,1141200450,1141201130,1141201134,1141201174,2018943436,2018943438,2038459888,2038459890,1140879600,1140879554,1140879556		0	1
RxDm		08-11-2016			TH			Medication	endocrine		meds; Diabetes medication				RxDmOr,RxDmIns															0	1
RxDmOr		08-11-2016			TH			Medication	endocrine		meds; Oral anti-diabetics										f3,f4,ft,x008T,x01Li	f3,f4,ft,x008T,x01Li						1140857494,1140857496,1140857500,1140857502,1140857506,1140857584,1140857586,1140857590,1140874646,1140874650,1140874652,1140874658,1140874660,1140874664,1140874666,1140874674,1140874678,1140874680,1140874706,1140874712,1140874716,1140874718,1140874724,1140874726,1140874728,1140874732,1140874736,1140874740,1140874744,1140874746,1140910564,1140910566,1140910818,1141152590,1141156984,1141157284,1141169504,1141171508,1140874686,1140874690,1140921964,1140868902,1140868908,1141153254,1141153262,1141168660,1141168668,1141171646,1141171652,1141173786,1141173882,1141177600,1141177606,1141189090,1141189094,1140882964,1140884600		0	1
RxDmIns		06-05-2021			TH			Medication	endocrine		meds; Insulin										f1,f2,x006f	f1,f2,x006f			6177=3 (insulin), 6153=3 (insulin)			1140882104,1140883066,1140910492,1141157482		0	1
RxHt		06-05-2021			TH			Medication	cardiovascular disease		meds; Hypertension				RxBeta, RxCAC, RxAce, RxATii, RxTDiu						x01QX	x01QX			6177=2 (blood pressure medication), 6153=2 (blood pressure medication)			1140888578		0	1
RxAtr		08-11-2016			TH	ik heb dit nog nodig: QT-altering medication ; antidepressants (particularly tricyclic antidepressants) and all anticholinergic agents (for example, digoxin, atropine and acetylcholinesterase inhibitors) because of the strong effects that these drugs have on HRV. 		Medication	heart disease		meds; Atropine										a411,a42,bb2	a411,a42,bb2						1140850914		0	1
RxChol		06-05-2021			TH			Medication	cardiovascular disease		meds; Cholesterol lowering medication				RxSta, RxNSta										6177=1 (cholesterol lowering medication), 6153=1 (cholesterol lowering medication)					0	1
RxDepr		08-11-2016			TH			Medication	psychiatry		meds; Antidepressants										d7,d8,d9,da,x00E4,x00fz,x01Ar,x01As,x01Au,x01Av,x01Aw,x01Ax,x01Ay,x01Az,x01Az,x01B0,x01B1,x01B2,x01B3	d7,d8,d9,da,x00E4,x00fz,x01Ar,x01As,x01Au,x01Av,x01Aw,x01Ax,x01Ay,x01Az,x01Az,x01B0,x01B1,x01B2,x01B3						1140856074,1140856076,1140856144,1140867600,1140867618,1140867624,1140867628,1140867632,1140867640,1140867658,1140867662,1140867668,1140867690,1140867712,1140867720,1140867722,1140867726,1140867734,1140867756,1140867758,1140867770,1140867774,1140867784,1140867806,1140867812,1140867818,1140867820,1140867824,1140867840,1140882310,1140917388,1141146062,1141171824,1141172554,1140856174,1140856176,1140867850,1140867852,1140867856,1140867858,1140867914,1140867916,1140867920,1140867922,1140910504,1140910704,1140910820,1140856186,1140867928,1140867930,1140867932,1140867934,1140867938,1140867940,1140867942,1140867944,1140867948,1140856092,1140867860,1140867876,1140867878,1140867884,1140867888,1140867952,1140867960,1140888714,1140916282,1140916288,1140917460,1140917466,1140921600,1141151946,1141151978,1141151982,1141152732,1141152736,1141170866,1141172616,1141172620,1141174756,1141180212,1141185124,1141190158,1141200754,1140882244,1140877864,1140878466,1140882236,1140928298,1140879540,1140879544,1140879552,1140879554,1140879556,1140879616,1140879620,1140879624,1140879626,1140879628,1140909806,1141170848,1140879630,1140879632,1140879634,1140879688		0	1
RxPsy		08-11-2016			TH			Medication	psychiatry		meds; Antipsychotics										d4,d5,x00f6,x00g2,x019W,x019X,x01Ba,x01BP,x01BT,x01BX,x01BY,x01BZ,x02LP,x02LQ,x02LR,x02LS,x02LV,x02LW	d4,d5,x00f6,x00g2,x019W,x019X,x01Ba,x01BP,x01BT,x01BX,x01BY,x01BZ,x02LP,x02LQ,x02LR,x02LS,x02LV,x02LW						1140855960,1140855976,1140855978,1140856046,1140856052,1140856054,1140863410,1140863416,1140867078,1140867080,1140867086,1140867092,1140867118,1140867122,1140867134,1140867136,1140867152,1140867156,1140867180,1140867184,1140867210,1140867218,1140867222,1140867244,1140867272,1140867288,1140867304,1140867306,1140867312,1140867332,1140867334,1140867342,1140867406,1140867414,1140867420,1140867432,1140867444,1140909802,1140917366,1140926498,1140927956,1140927970,1140928916,1141152848,1141152860,1141153490,1141167976,1141169714,1141169722,1141177762,1141184742,1141185130,1141186748,1141195974,1141200458,1141201792,1141202024,1140856004,1140867398,1140867456,1140867474,1140867546,1140867548,1140867572,1140882320,1140882376,1140879430,1140879490,1140879704,1140879658,1140879660,1140910356,1140910358,1140879674,1140909804,1140879746,1140879750,1140879754,1140867084,1140867150,1140873450,1140909800,1140867168,1140873574,1141157498,1140867208,1140873536,1140910816,1141157396,1140868170,1140873780,1140868120,1140874240		0	1
RxBeta		22-10-2020			TH	Left out two beta-blockers with glaucoma indication (x01C6,x01C8);correct typo on separater		Medication	cardiovascular disease		meds; Beta-blockers				RxSot						bd,x00Tb,x01C0,x01C1,x01C2,x01C4,x01C7,x01CA,x01CB,x01CJ,x02Rk,x02SC	bd,x00Tb,x01C0,x01C1,x01C2,x01C4,x01C7,x01CA,x01CB,x01CJ,x02Rk,x02SC						1140851480,1140851484,1140851492,1140851508,1140851522,1140851556,1140851576,1140860172,1140860180,1140860192,1140860194,1140860212,1140860220,1140860222,1140860230,1140860232,1140860244,1140860250,1140860266,1140860274,1140860278,1140860292,1140860294,1140860304,1140860308,1140860312,1140860314,1140860316,1140860318,1140860320,1140860322,1140860324,1140860328,1140860330,1140860332,1140860334,1140860336,1140860338,1140860340,1140860342,1140860348,1140860352,1140860356,1140860358,1140860362,1140860380,1140860382,1140860386,1140860390,1140860394,1140860396,1140860398,1140860400,1140860402,1140860404,1140860406,1140860410,1140860418,1140860422,1140860426,1140860434,1140860492,1140860498,1140863724,1140864176,1140864410,1140864950,1140866692,1140866704,1140866712,1140866724,1140866726,1140866738,1140866756,1140866758,1140866764,1140866766,1140866778,1140866782,1140866784,1140866798,1140866800,1140866802,1140866804,1140909368,1140910614,1140916342,1140916628,1140916730,1140916868,1140917076,1140922930,1141146184,1141152076,1141156754,1141156808,1141164276,1141164280,1141168498,1141169498,1141171152,1141172742,1141182904,1141182968,1141184324,1141187048,1141187780,1141194804,1141194808,1140881722,1140879758,1140879824,1140879830,1140879834,1140879836,1140879866,1140923336,1141146124,1141180778,1140923404		0	1
RxCAC		2-11-2020			TH			Medication	cardiovascular disease		meds; Calcium channel-blockers (dihydropyridines)				RxVer,RxDil						bA,bkD,bkH,bkI,bl7,bl8,bla,blb,blc,ble,blg,blh,bll,x00Du,x01CV	bA,bkD,bkH,bkI,bl7,bl8,bla,blb,blc,ble,blg,blh,bll,x00Du,x01CV						1141165470,1141165476,1140861176,1140851790,1140851794,1140861088,1140861090,1140861106,1140861110,1140861114,1140861120,1140911088,1140916930,1140923572,1140926188,1140926966,1140927934,1140927940,1141145870,1141150500,1141150538,1141152600,1141157140,1141162546,1141166752,1141169730,1140861190,1140861194,1140861202,1140879802,1141200400,1140888646,1140928212,1141187094,1141188152,1141188576,1141188836,1141188920,1141190160,1141199858,1141200782,1141201814,1140861276,1140861282,1140928226,1140928234,1141153032,1141173766,1141187962,1141188936,1141190548,1140881702,1140879810		0	1
RxAce		08-11-2016			TH			Medication	cardiovascular disease		meds; ACE-inhibitors										bi,bA,bk6,x00en,x00eq,x00f0,x00fw,x01Qe,x01Qf,x01Qg,x05df	bi,bA,bk6,x00en,x00eq,x00f0,x00fw,x01Qe,x01Qf,x01Qg,x05df						1140851690,1140851692,1140860696,1140860706,1140860714,1140860728,1140860736,1140860738,1140860750,1140860752,1140860758,1140860764,1140860776,1140860784,1140860790,1140860802,1140860806,1140860878,1140860882,1140860892,1140860904,1140860912,1140860918,1140864618,1140864910,1140864952,1140923712,1140923718,1141150328,1141150560,1141151382,1141164148,1141164154,1141167758,1141167822,1141170544,1141170870,1141180598,1141181186,1141188408,1141190934,1141199940,1141200698,1141200726,1141165470,1141165476,1141153316,1141153328,1140881706,1140882356,1140881716,1140881714,1140881712,1140882946,1140883048,1140888552,1140888556,1140888560,1141180592		0	1
RxAmi		08-11-2016			TH			Medication	heart disease		meds; Amiodarone										bb1,x00f2,x01QS	bb1,x00f2,x01QS						1140866516,1141166600,1141187440,1140881726,1140888502		0	1
RxATii		08-11-2016			TH			Medication	cardiovascular disease		meds; AT-II antagonists										bk3,bk4,bk5,bk7,bk8,bk9,bkB,bkC,bkD,bkH,bkI,bkJ	bk3,bk4,bk5,bk7,bk8,bk9,bkB,bkC,bkD,bkH,bkI,bkJ						1140916356,1140916362,1141151016,1141151018,1141179974,1141145660,1141145668,1141201038,1141201040,1141152998,1141153006,1141172682,1141172686,1141156836,1141156846,1141166006,1141172492,1141187788,1141187790,1141171336,1141171344,1141193282,1141193346		0	1
RxDil		08-11-2016			TH			Medication	heart disease		meds; Diltiazem										bl5,blj,x01CU	bl5,blj,x01CU						1140851730,1140861128,1140861130,1140861136,1140861138,1140861166,1140911698,1140917428,1140917452,1140923618,1140926778,1140926780,1141151474,1141153454,1141156656,1141157136,1141167832,1141171804,1141174684,1141175224,1141180238,1141185444,1140879806,1140879808		0	1
RxDro		08-11-2016			TH			Medication	heart disease		meds; Dronedarone										bb4	bb4								0	1
RxPH		08-11-2016			TH			Medication	heart disease		meds; Pulmonary hypertension										bkA,bkE,bkG,bkK,bn7	bkA,bkE,bkG,bkK,bn7						1141186674,1141186776		0	1
RxFle		08-11-2016			TH			Medication	heart disease		meds; Flecaïnide										bc3,x01QJ	bc3,x01QJ						1140866654,1140888570		0	1
RxIno		08-11-2016			TH			Medication	heart disease		meds; Inotropics (incl. adrenalin)										bp,bq,bz	bp,bq,bz						1140861444,1140861456,1140851852,1140851854		0	1
RxIso		08-11-2016			TH			Medication	heart disease		meds; Isoprenaline										c24,x01Cu	c24,x01Cu						1140855328,1140855330,1140855332,1140862310,1140879806,1140879808		0	1
RxVas		08-11-2016			TH			Medication	cardiovascular disease		meds; Vasodilators (anti-anginous)										bl,x01RC	bl,x01RC						1140851646,1140851652,1140851712,1140851726,1140851730,1140851784,1140851786,1140851790,1140851794,1140851798,1140851800,1140851812,1140860834,1140860836,1140860838,1140860840,1140860842,1140860846,1140860848,1140860862,1140860938,1140860940,1140860942,1140860952,1140860954,1140860966,1140860972,1140860976,1140860982,1140860988,1140860994,1140861000,1140861002,1140861008,1140861010,1140861016,1140861022,1140861024,1140861034,1140861046,1140861068,1140861070,1140861088,1140861090,1140861106,1140861110,1140861114,1140861120,1140861128,1140861130,1140861136,1140861138,1140861166,1140861176,1140861190,1140861194,1140861202,1140861266,1140861268,1140861276,1140861282,1140864904,1140879802,1140888646,1140888760,1140888762,1140909710,1140910510,1140910512,1140910570,1140910572,1140910694,1140910696,1140910766,1140910772,1140911088,1140911698,1140916930,1140917078,1140917428,1140917452,1140917456,1140921690,1140922018,1140923572,1140923618,1140923670,1140923788,1140926188,1140926778,1140926780,1140926948,1140926966,1140927576,1140927934,1140927940,1140928212,1140928226,1140928234,1141145630,1141145870,1141146050,1141150500,1141150538,1141151474,1141152600,1141153032,1141153118,1141153394,1141153400,1141153454,1141156656,1141157136,1141157140,1141157252,1141157254,1141162546,1141162550,1141162712,1141164044,1141164050,1141164788,1141166752,1141166858,1141167832,1141168108,1141169730,1141170682,1141171804,1141172698,1141173766,1141173888,1141174684,1141174718,1141175224,1141175546,1141180238,1141182918,1141185444,1141186108,1141187094,1141187962,1141188152,1141188576,1141188730,1141188836,1141188920,1141188936,1141189776,1141190160,1141190548,1141191980,1141192064,1141192364,1141199858,1141200400,1141200730,1141200782,1141201814,1140888666		0	1
RxMet		08-11-2016			TH			Medication	cardiovascular disease		meds; Metformin										f41,ft7,ftb,fte,ftg,fti,ftl,ftm,ftp,ftr,ft4	f41,ft7,ftb,fte,ftg,fti,ftl,ftm,ftp,ftr,ft4						1140874686,1140874690,1140921964,1141177600,1141177606,1141189090,1141189094		0	1
RxLip		08-11-2016			TH			Medication	cardiovascular disease		meds; Lipid lowering drugs				RxSta,RxNSta															0	1
RxNSta		08-11-2016			TH			Medication	cardiovascular disease		meds; Non-statin lipid lowering agent										bx1,bx2,bx3,bx4,bx5,bx6,bx7,bx8,bx9,bxa,bxb,bxc,bxf,bxh,bxl,bxm,bxn,bxo,x01R0	bx1,bx2,bx3,bx4,bx5,bx6,bx7,bx8,bx9,bxa,bxb,bxc,bxf,bxh,bxl,bxm,bxn,bxo,x01R0						1140861924,1140861926,1140861928,1141157260,1141168568,1141171548,1141175908,1141201306,1140861936,1140861942,1140921004,1141180722,1140861944,1140861946,1140861848,1140851880,1140851882,1140861856,1140861858,1140926582,1141157262,1140861866,1140861868,1140910670,1141188546,1140861876,1140861878,1140861884,1141181868,1140861892,1140861894,1140861954,1141162544,1141172214,1141182910,1140862026,1140862028,1141145830,1141192736,1141192740,1140888590		0	1
RxDiu		08-11-2016			TH			Medication	cardiovascular disease		meds; Diuretic				RxLDiu,RxTDiu,RxPSDiu						x005J, x0039	x005J, x0039						1140881842,1140881894		0	1
RxLDiu		08-11-2016			TH			Medication	cardiovascular disease		meds; Loop diuretics										b3,b516,b517,b519,b51B,b51D,b51H,b51J,b51L,b51M,b51N,b51R,b51S,b51T,b51h,b51i,b51x,b51y,b51z,b51n,b51o,b51t,b51u,b912,b914,b917,b918,b91b,b91d,b91f,b91g,x00fV,x02SB	b3,b516,b517,b519,b51B,b51D,b51H,b51J,b51L,b51M,b51N,b51R,b51S,b51T,b51h,b51i,b51x,b51y,b51z,b51n,b51o,b51t,b51u,b912,b914,b917,b918,b91b,b91d,b91f,b91g,x00fV,x02SB						1140851342,1140851400,1140851412,1140851414,1140864874,1140866116,1140866182,1140866192,1140866194,1140866200,1140866202,1140866206,1140866210,1140866212,1140866248,1140866262,1140866280,1140866282,1140888496,1140909708,1140910536,1140910560,1141157184,1141168964,1141169088,1141181098,1140866406,1140866408,1140866412,1140866418,1140866420,1140851428,1140866426,1140866332,1140866334,1141195254,1140864550,1140851436,1140866352,1140928624,1140866354,1141167108,1140866356,1141181520,1140864574,1140866438,1140866442,1140866444,1140866448,1140866506,1141195258,1140881728,1140882898,1140923402		0	1
RxPPI		06-05-2021			TH			Medication	gastro-intestinal		meds; Proton pump inhibitors										a6b,a6c,a6e,a6f,a6g,a6h,x00Td	a6b,a6c,a6e,a6f,a6g,a6h,x00Td			6154=5 (omeprazole), 10005=1 (omeprazole)			1140865634,1140909578,1141187060,1141190552,1141199916,1141200376,1141200442,1141200652,1141200654,1140864752,1140923688,1140929012,1141164616,1141168584,1141168590,1141168822,1141168824,1141180462,1141184174,1141184176,1141177526,1141177532,1140882226		0	1
RxSot		08-11-2016			TH			Medication	heart disease		meds; Sotalol										bdc,x01CG	bdc,x01CG						1140860304,1140860362,1140879854		0	1
